,Company Name,Address,Phone,votes,ratings,latitude,longitude
0,Karnataka Public School,"Chokkanahalli Village, Hegde Nagar, Bangalore - 560077",07947396714,2Votes,3.5,13.071708,77.633626
1,Chistiya International Scho..,"Gunjur, Whitefield-Sarjapur Road, Varthur, Bangalore - 560087, Near Gunjur Bus Stop",07947157165,165Votes,4.2,12.9210676,77.738818
2,Silicon City Academy Of Sec..,"Silicon City Educational Trust, Kumar Nursery, New Bank Colony, Konanakunte Cross, Bangalore - 560062, Off Kanakapura Road, Near Saudhamani Marriage Hall",07947154306,320Votes,4.3,12.8812062,77.5689372
3,Sai Vidya Mandir,"Bettahalasur, Bettahalsur, Bangalore - 562157, Near Government Hospital",07947161754,34Votes,4.9,13.1586248,77.6126443
4,Carmel Public School,"No 2, 5th Cross , M S Layout, Jarganahalli, Jp Nagar 6th Phase, Bangalore - 560078, Near Sarakki Signal",07947161557,81Votes,4.3,12.902639055556,77.576286444444
5,St. Johns School,"Bhuvaneshwari Nagar,Kempapura,Coffee Board Layout, Hebbal, Bangalore - 560024, Near Water Tank",07947154666,95Votes,4.2,13.0522972222,77.6069111111
6,Smrti Academy,"No.18, Anekal Taluk, Huskur, Bangalore - 560099, Near Madduramma Temple",07947162179,112Votes,4.8,12.909122222222,77.681122222222
7,MS Dhoni Global School,"No 47/1A,1B, Hsr Extension(South), Kudulu Gate, Bangalore - 560068, Opposite to Cadenza Apartments",07947460011,68Votes,4.7,12.8882369,77.644759
8,National Public School,"No 22, Anjanapura Main Road, Jp Nagar 9th Phase, Bangalore - 560062, Near Krbe Indian Oil Petrol Bunk",07947460521,2Votes,3.5,12.868707,77.563212
9,Shri Ram Global School Whit..,"#07 &amp; 08, Naganayakanakote,Samethanahalli, SAMETHANAHALLI Main Road, Whitefield, Bangalore - 560067, Near SAMETHANAHALLI LAKE",07947160369,125Votes,3.9,12.967683333333,77.797211111111
10,Innovative School Of Excell..,"8/6.BBMP Office Roa, Horamavu Agara Village, Bangalore - 560043",07947188286,6Votes,4.3,13.039196972222,77.658404
11,Bangalore Education Guide L..,"No 68,1st Floor, 4th Main,Postal Colony, Sanjay Nagar, Bangalore - 560094, Near Daffodils School",07947159203,1330Votes,3.9,13.034963,77.577357
12,Poorna Smrithi Public Schoo..,"No 44, Shampur Main Road, LR Bande Road, Rt Nagar, Bangalore - 560032, Behind KHB Quarters, Opposite Raghavendra Temple",+(91)-7348922733,125Votes,4.0,13.028227777778,77.610175
13,Shri Ram Global School,"Sy No 67/1, Old Madras Road, Bhattarahalli, Bangalore - 560049, Bommenahalli",07947266402,228Votes,4.7,13.073655,77.7543743
14,Narayana E Techno & Olympia..,"#105/6,Gurumurthy Swamy Krupa Building, Opp Lake Dew Residency, Haralur-HSR Layout, Bangalore - 560102, Opposite TVS Showroom",07947292139,87Votes,3.7,12.897777123731,77.65745925716
15,Basil Woods Nature School,"MS Palya Road, Lakshmipura Cross, Bangalore - 560097, Near Sambhram College",07947164768,1Votes,5.0,13.092006,77.533952
16,Global Residential School,"Pillagumpe Chinthamane Road, Whitefield, Bangalore - 560067, Near Industrial Area",07947313589,139Votes,4.1,13.012370076043,77.66629284255
17,Brs Global School,"No 317/2, Bidaraguppe Village, Attibele, Bangalore - 562107, Sarjapura Attibee Road",07947460049,50Votes,4.1,12.807097,77.780883
18,Flomont World School,"No 51, 1st Cross,4th Main,HAL 3rd Satge, New Thippasandra, Bangalore - 560075, Near 80 Feet Road And Near BSNL Office",07947160020,22Votes,4.3,12.9701617,77.6480058
19,St Marks Public School,"No.37, 1st Mn Rd,3rd Phs, Jp Nagar 3rd Phase, Bangalore - 560078",07947154874,112Votes,3.9,12.914404,77.5987832
20,Hill Rock National Public S..,"Survey No.101, Brahmadevara Gutte Kodigehalli,6th Block,Vishweshwaraya Layout Off Magadi Road, Nagarbhavi, Bangalore - 560091",+(91)-9739710666,67Votes,4.2,12.966590006848,77.472426714448
21,Grv Public School,"No 20, Ganga Nagar Extension, Bangalore - 560032, Behind Shell Petrol Bunk",07947257214,46Votes,3.8,13.0212736,77.5843292
22,PARIPOORNA PRAJNA Internati..,"No.149,, Patel Layout, Cheemasandra, Virgonagar, Bangalore - 560049, Near Avalahalli Bus Stop &amp; Muneshwara Swamy Temple, Behind BREN Apartment",07947160719,38Votes,4.3,13.0428064,77.7358876
23,ANANTHA VIDYANIKETANA,"Sai Gardens, Avathi, Devanahalli, Bangalore - 562110, Next to Shirdi Sai  Baba Temple, NH-7",07947241970,86Votes,4.3,13.280104,77.728258
