,Company Name,Address,Phone,votes,ratings,latitude,longitude
0,Dr. Sujaya Hegde B,"No.395, Skin &amp; Neuro Clinic, Cmh Road, 2nd Stage, Indiranagar, Bangalore - 560038",+(91)-80-25282883,633Votes,4.3,12.9783734,77.635892
1,Seventh Day Adventist Hospi..,"No 8, Spencer Road, Frazer Town, Bangalore - 560005, Near Coles Park",+(91)-80-25360190,631Votes,4.0,12.995733,77.611415
2,Yogananda Multispeciality H..,"No 371, CJ Venkatesh Das Road, RK Layout 2nd Stage, Uttarahalli Main Road, Padmanabhanagar, Bangalore - 560070",+(91)-80-42188108,627Votes,4.3,12.9180173,77.5593928
3,Church Of South India Hospi..,"No. 4, Hkp Road, Bangalore - 560051, Near Cantonment Railway Station",+(91)-080-22861103,621Votes,4.0,12.9913022,77.6010952
4,Manasa Hospital,"No.107, 6th Main Road, 2nd Cross, Vijayanagar, Bangalore - 560040, Opposite J P Park",+(91)-80-23104640,605Votes,4.2,12.968768,77.524698
5,Vanivilas Hospital,"Sultan Road, Kalasipalyam, Bangalore - 560002, Near K R Market",+(91)-080-26702487,604Votes,3.9,12.96207,77.574271
6,Diacon Hospital,"No.359/360, 19th Main Road, Rajajinagar 1st Block, Bangalore - 560010, Opposite Adhishwar Electronics",+(91)-80-23329909,600Votes,4.1,13.003792,77.54986
7,Nethradhama Superspeciality..,"No.66, Double Road,Hal 2nd Stage, Hal 2nd Stage-indiranagar, Bangalore - 560008, Near ESI Hospital",+(91)-080-43332555,598Votes,4.1,12.9718813,77.6473631
8,Command Hospital,"Cambridge Layout, Jogupalya, Agaram, Bangalore - 560007",+(91)-080-25369030,596Votes,4.0,12.964646,77.6281983
9,Gangothri Hospital,"No.27, 100 Feet Ring Road, Kuvempu Nagar, Bannerghatta Road, Btm Layout, Bangalore - 560076, Near Udupi Garden",+(91)-80-26684574,591Votes,3.6,12.91632,77.613794
10,MS Ramaiah Memorial Hospita..,"New Bel Road, Devasandra, Bangalore - 560012, Near Bus Stop",+(91)-080-23609999,586Votes,3.9,13.031494,77.565524
11,Shanbhag Hospital,"No.6, 1st Main, 3rd Cross, Basaveshwara Nagar, Bangalore - 560079, Near Gangamma Thimmaiah Choultry",+(91)-080-23222894,585Votes,4.1,12.9857202,77.5435138
12,Sharavathi Hospital Pvt Ltd,"No.1133/F, Service Road, Rpc Layout, 2nd Stage, Vijayanagar, Bangalore - 560040, Near Maruthi Mandir",+(91)-080-23300222,583Votes,3.8,12.962272,77.534221
13,Raghavendra People Tree Hos..,"No.13/14, K G Layout, T Dasarahalli, Bangalore - 560057, Opposite New Agarwal Bhavan &amp; Near Metro Station",+(91)-080-46699200,581Votes,4.0,13.042553,77.515546
14,Aveksha Hospital,"No.122, Singapura Main Road, Varadarajaswamy Layout, M S Palya, Bangalore - 560097, Near Bwssb Water Tank",+(91)-080-47277770,581Votes,3.8,13.081756,77.540929
15,Vydehi Hospital,"No. 82, Epip Industrial Area, Whitefield, Bangalore - 560066, Near Sai Baba Hospital",+(91)-080-49069000,580Votes,3.9,12.9768145,77.7267167
16,Svastha Hospital,"No. 3, Narayanappa Garden, Whitefield, Bangalore - 560066, Near Morries Restaurant",+(91)-80-25034444,577Votes,3.4,12.9659292,77.7492682
17,Columbia Asia Hospital Pvt ..,"No.8, 2nd Floor, The Icon, 80 Feet Road, Hal 3rd Stage, Indiranagar, Bangalore - 560008",+(91)-80-40211000,572Votes,4.1,12.973863,77.647056
18,Sanjay Gandhi Institute Of ..,"Byrasandra, Bangalore - 560011, Behind Nimhans Hospital",+(91)-80-26564516,562Votes,4.1,12.933358,77.594331
19,SS Sparsh Super Specialty H..,"No. 8, Ideal Homes, Rajarajeshwari Nagar, Bangalore - 560098, HBCS Layout",+(91)-080-67666766,561Votes,4.0,12.9266001,77.521041
