,Company Name,Address,Phone,votes,ratings,latitude,longitude
0,Mantri Square Mall,"No.1, Sampige Road, Malleswaram, Bangalore - 560003, Near Nataraj Theatre",+(91)-80-30160000,125274Votes,4.4,12.991607,77.571336
1,Phoenix Market City Mall,"1st Cross, Whitefield Main Road, Mahadevapura, Bangalore - 560048, Opposite Bbmp Office",+(91)-080-67266111,123723Votes,4.5,12.997638,77.69634
2,Orion Mall,"No.26/1, Brigade Gateway Campus, Dr Rajkumar Road, Malleswaram West, Bangalore - 560055, Next to Metro Cash &amp; Carry",+(91)-080-67282222,93113Votes,4.5,13.011023,77.554715
3,The Forum Mall,"No.21, Hosur Main Road, Koramangala, Bangalore - 560095, Opposite Bosch",+(91)-080-22067803,71382Votes,4.3,12.934172,77.610966
4,Garuda Shopping Mall,"No.15, Ashok Nagar, Magrath Road, Bangalore - 560025, Opposite Home Stop",+(91)-80-40698888,58982Votes,4.1,12.9700713,77.6098644
5,Vr Bengaluru Mall,"Whitefield Main Road, Mahadevapura, Bangalore - 560048, Near Phoenix Market City",+(91)-080-46693467,55759Votes,4.4,12.996029,77.695261
6,Vega City Mall,"No.172/1, Srinivas Industrial Area, Bannerghatta Road, Bangalore - 560076, Near JD Mall Signal",+(91)-080-67922333,52043Votes,4.3,12.907467,77.600853
7,Ub City Mall,"No 24, KG Halli, Vittal Mallya Road, Bangalore - 560001, Near Mallya Hospital, Cubbon Park Police Station, D Souza Layout, Ashok Nagar",+(91)-080-22711488,50119Votes,4.5,12.971589,77.595782
8,Elements Mall,"No.132/133/134 P, 100 Feet Main Road, Thanisandra, Bangalore - 560045, Behind Manyata Tech Park",+(91)-080-67294444,46736Votes,4.0,13.044897,77.626646
9,Gopalan Innovation Mall,"No.22, Jayadeva Hospital Circle, Bannerghatta Road, Bangalore - 560076, Near Shoppers Stop",+(91)-80-26580566,39745Votes,3.9,12.914328,77.599588
10,Gt World Mall,"No.92, Vijayanagar, Bangalore - 560040, Next to Prasanna Theater",+(91)-080-46329003,35276Votes,4.3,12.973289,77.551365
11,Gopalan Arcade Mall,"No.447/1812, 1st Block, Pantharapalya, Mysore Road, Rajarajeshwari Nagar, Bangalore - 560098",+(91)-080-28602945,33839Votes,4.0,12.935603,77.517814
12,The Forum Neighbourhood Mal..,"No.62, Whitefield Main Road, Bangalore - 560066, Near Varthur Lake",+(91)-080-25043800,32837Votes,4.2,12.959765,77.747283
13,Gopalan Signature Mall,"No.6, Old Madras Road, Nagavarapalya, Bangalore - 560093, Opposite  Rmz",+(91)-80-25246246,32479Votes,4.0,12.993105,77.661557
14,Lido Shopping Mall,"No.1/1, Ista Compound, Vivekananda Road, Ulsoor, Bangalore - 560008, Near Trinity Circle",+(91)-080-22086573,28959Votes,4.0,12.97352,77.620277
15,Eta Mall,"No. 1, Hosakere Road, Binnypete, Bangalore - 560026, Opposite Balekayi Mandi",+(91)-080-67410009,28796Votes,4.0,12.965487,77.562072
16,Bangalore Central Mall,"No.45/1/45/2, 45th Cross, Jp Nagar 2nd Phase, Bangalore - 560078, Near Ragigudda Temple",18002107777,26379Votes,4.2,12.916358,77.592643
17,Inorbit Mall,"Plot No. 75, Epip Industrial Park, Whitefield, Bangalore - 560066, Next To Sathya Sai Hospital",+(91)-080-67280000,25790Votes,4.0,12.979204,77.728195
18,Orion East,"No.10/34, Banaswadi Main Road, Maruthi Sevanagar, Bangalore - 560033",+(91)-080-23094444,25313Votes,4.2,13.001731,77.632705
19,Kempfort,"No.97, Old Airport Road, Bangalore - 560017",+(91)-9845166666,23467Votes,3.9,12.958664,77.65687
20,Forum Shantiniketan,"Whitefield Main Road, Bangalore - 560067, Opposite Manipal Hospital",+(91)-080-25018225,23260Votes,4.4,12.989372,77.728227
21,Gopalan Legacy Mall,"No. 148, Mysore Road, Bangalore - 560026, Near Sirsi Circle",+(91)-80-26752122,22559Votes,3.9,12.958267,77.553552
22,Brookefield Mall,"ITPL Main Road, Brookefield, Bangalore - 560037",+(91)-080-41188997,21515Votes,3.9,12.966054,77.718134
23,One Mg Mall,"No.1/2, Swami Vivekananda Road, M G Road, Bangalore - 560001, Opposite Vivanta By Taj",+(91)-80-22086565,20344Votes,4.0,12.97352,77.620277
24,Sri Garuda Swagath Mall,"Tilak Nagar, Jayanagar 4th Block, Bangalore - 560011, Opposite Police Station",+(91)-080-41309058,16519Votes,3.9,12.929108,77.591354
25,Ascendas Park Square Mall,"International Tech Park, Whitefield, Bangalore - 560066",+(91)-080-41880888,16329Votes,4.1,12.98729,77.736413
26,Rockline Mall,"No 8, Jalahalli Cross, T Dasarahalli, Bangalore - 560057, Chokkasandra",+(91)-9113939690,16159Votes,3.8,13.040947,77.518342
27,Gopalan Grand Mall,"Gopalan Grand Mall, Nagavar Palya, Old Madras Road, Bangalore - 560016, Above More Supermarket",+(91)-080-25242484,16006Votes,4.1,12.993416,77.663828
28,Presto Kemp Fort Mall,"No 97, 1st Floor, Kemp Fort Mall, Ramagiri, Murugesh Palya, Old Airport Road, Bangalore - 560017, Near Kemp Fort Shiv Temple",+(91)-8217690383,15235Votes,3.8,12.9587516,77.6568341
29,RMZ Galleria Mall,"Ambedkar Colony, Yelahanka, Bangalore - 560064, Opposite Yelahanka Police Station",+(91)-080-68137475,15176Votes,4.4,13.093264,77.59521
30,Sigma Central,"No.15, 16 &amp; 17, Cunningham Road, Bangalore - 560052, Near Westminister",,12576Votes,3.7,12.98803,77.594578
31,Arena Mall,"Out Ring Road, Doddanekundi Extension, Bangalore - 560037",+(91)-080-33569555,10879Votes,4.1,12.9797323,77.6937706
32,Market Square Mall,"Market Square Mall, Madiwala, Bangalore - 560068, Opposite Police Station",+(91)-9900098971,10538Votes,4.0,12.921655,77.620458
33,Esteem Mall,"No.127/128, Bellary Road, Hebbal, Bangalore - 560024, Near Hebbal Fly Over",,9908Votes,3.6,13.049294,77.592998
34,Market Square Mall,"Sarjapur Main Rd, Harlur, Bengaluru, Ambalipura, Bangalore - 560103",+(91)-9741511885,8953Votes,4.0,12.91692,77.671501
35,Golden Height Mall,"Dr Rajkumar Road, 4m Block, Rajajinagar, Bangalore - 560010",,6960Votes,3.9,12.982868,77.55981
36,Virginia Mall,"Whitefield, Bangalore - 560066, Near Varthur Lake &amp; Next To Columbia Asia Hospital",+(91)-080-67424950,6681Votes,3.6,12.957276,77.745286
37,KLM Fashion Mall,"No 518, Varthur Road Marathahalli Village Marathahalli, Marathahalli, Bangalore - 560037, Near to Marathahalli Village",+(91)-80-43746553,4173Votes,3.7,12.9567993,77.7007577
